Epoch,Train Loss,Val Loss,Train MSE,Val MSE,Train MAE,Val MAE,Train R²,Val R²
1,0.002183724276940612,0.0057305577895877995,0.002183724194765091,0.005730557721108198,0.03564373776316643,0.057007450610399246,0.9386535882949829,0.751909613609314
2,0.0013074398961822119,0.0031149146688061163,0.0013074399903416634,0.003114914521574974,0.02678116410970688,0.0431402325630188,0.9632706046104431,0.8651474118232727
3,0.0010133265955921482,0.0023344947052571703,0.0010133266914635897,0.002334494609385729,0.0236192736774683,0.03668582811951637,0.9715330004692078,0.8989337682723999
4,0.001028425763840513,0.002289195981575176,0.001028425875119865,0.0022891960106790066,0.024937106296420097,0.03605968505144119,0.9711087942123413,0.9008948802947998
5,0.0008990718188750394,0.0013119417571407907,0.00089907186338678,0.0013119418872520328,0.02239232324063778,0.02929968759417534,0.9747427105903625,0.9432026743888855
6,0.000924227518707459,0.00221541291102767,0.000924227642826736,0.00221541291102767,0.02339211292564869,0.03727591410279274,0.9740360975265503,0.9040891528129578
7,0.0008665556310648646,0.0010407644782817976,0.0008665555506013334,0.001040764502249658,0.02270502969622612,0.02483786642551422,0.975656270980835,0.9549426436424255
8,0.0006559962767984389,0.0014539543053080492,0.0006559962639585137,0.0014539542607963085,0.019315646961331367,0.029159072786569595,0.9815713763237,0.9370546340942383
9,0.0006076351205325302,0.0007849434726214146,0.0006076350691728294,0.0007849434623494744,0.01864875666797161,0.02119012176990509,0.9829300045967102,0.9660177826881409
10,0.0006046795854618883,0.0006603508989107521,0.000604679633397609,0.000660350953694433,0.018884051591157913,0.019946621730923653,0.9830129742622375,0.9714117050170898
11,0.0005184222502387403,0.0008958901984014493,0.0005184222245588899,0.000895890174433589,0.017318377271294594,0.02306697703897953,0.9854361414909363,0.9612146615982056
12,0.0005112869197653388,0.0006988387356293114,0.0005112868966534734,0.0006988387322053313,0.01709473878145218,0.020863845944404602,0.9856366515159607,0.9697455167770386
13,0.0005423884046168122,0.000595485041712356,0.0005423883558250964,0.0005954850348643959,0.017830124124884605,0.018564647063612938,0.9847629070281982,0.9742199182510376
14,0.0004784454495700843,0.0005662528873311684,0.000478445494081825,0.0005662529147230089,0.01684236153960228,0.018170401453971863,0.9865592122077942,0.9754854440689087
15,0.0004826408758697867,0.0006094930851010277,0.00048264084034599364,0.0006094931159168482,0.016822539269924164,0.019033147022128105,0.9864413738250732,0.9736135005950928
16,0.0004549630252500612,0.0005551352651844569,0.00045496306847780943,0.0005551352514885366,0.016282392665743828,0.01799691654741764,0.9872189164161682,0.9759668111801147
17,0.0005141024230397306,0.0010023807784925926,0.0005141024012118578,0.001002380857244134,0.017502320930361748,0.026452988386154175,0.985557496547699,0.9566043615341187
18,0.00045953410496140886,0.0007337296676055036,0.000459534116089344,0.0007337296847254038,0.01648978888988495,0.02144395001232624,0.9870904684066772,0.9682349562644958
19,0.00041068609254366225,0.00042716010049095046,0.000410686043323949,0.00042716009193100035,0.015381296165287495,0.015269325114786625,0.9884628057479858,0.9815071821212769
20,0.00042151272860150235,0.0005576131379177026,0.0004215126973576844,0.000557613093405962,0.015470930375158787,0.017966706305742264,0.9881585836410522,0.975859522819519
